"x","y","z","D"
0,0,0.64,0
0.100671140939597,0,0.64,0.000233307141058602
0.201342281879195,0,0.64,0.000380879768662827
0.302013422818792,0,0.64,-0.000103774757596934
0.402684563758389,0,0.64,-0.0011692475478288
0.503355704697987,0,0.64,-0.00277992238295603
0.604026845637584,0,0.64,-0.00490907984276775
0.704697986577181,0,0.64,-0.00754111102719615
0.805369127516778,0,0.64,-0.0106659485268938
0.906040268456376,0,0.64,-0.0142760420974711
1.00671140939597,0,0.64,-0.0183648584119078
1.10738255033557,0,0.64,-0.0229262377785179
1.20805369127517,0,0.64,-0.0279541097406028
1.30872483221477,0,0.64,-0.0334423621185503
1.40939597315436,0,0.64,-0.0393847781062813
1.51006711409396,0,0.64,-0.0457750074141436
1.61073825503356,0,0.64,-0.0526065573449903
1.71140939597315,0,0.64,-0.0598727978201082
1.81208053691275,0,0.64,-0.0675669775171645
1.91275167785235,0,0.64,-0.0756822491244558
2.01342281879195,0,0.64,-0.0842117014956448
2.11409395973154,0,0.64,-0.0931483959508808
2.21476510067114,0,0.64,-0.102485403582723
2.31543624161074,0,0.64,-0.112215840433711
2.41610738255034,0,0.64,-0.122332897869116
2.51677852348993,0,0.64,-0.132829866280077
2.61744966442953,0,0.64,-0.143700151241727
2.71812080536913,0,0.64,-0.154937282220846
2.81879194630872,0,0.64,-0.166534914714533
2.91946308724832,0,0.64,-0.178486827208608
3.02013422818792,0,0.64,-0.190786914550483
3.12080536912752,0,0.64,-0.20342917927711
3.22147651006711,0,0.64,-0.216407722203097
3.32214765100671,0,0.64,-0.229716733245968
3.42281879194631,0,0.64,-0.24335048312241
3.52348993288591,0,0.64,-0.257303316245772
3.6241610738255,0,0.64,-0.271569644919883
3.7248322147651,0,0.64,-0.286143944764779
3.8255033557047,0,0.64,-0.301020751218648
3.9261744966443,0,0.64,-0.316194656922587
4.02684563758389,0,0.64,-0.331660309793501
4.12751677852349,0,0.64,-0.347412411611003
4.22818791946309,0,0.64,-0.363445716974596
4.32885906040268,0,0.64,-0.379755032519853
4.42953020134228,0,0.64,-0.39633521631199
4.53020134228188,0,0.64,-0.413181177359957
4.63087248322148,0,0.64,-0.430287875213201
4.73154362416107,0,0.64,-0.447650319617165
4.83221476510067,0,0.64,-0.465263570212901
4.93288590604027,0,0.64,-0.48312273627223
5.03355704697987,0,0.64,-0.501222976463357
5.13422818791946,0,0.64,-0.519559498643723
5.23489932885906,0,0.64,-0.538127559677667
5.33557046979866,0,0.64,-0.556922465276734
5.43624161073825,0,0.64,-0.575939569860451
5.53691275167785,0,0.64,-0.595174276435328
5.63758389261745,0,0.64,-0.614622036489771
5.73825503355705,0,0.64,-0.634278349902751
5.83892617449664,0,0.64,-0.654138764864053
5.93959731543624,0,0.64,-0.674198877804306
6.04026845637584,0,0.64,-0.694454333333103
6.14093959731544,0,0.64,-0.71490082418389
6.24161073825503,0,0.64,-0.735534091164515
6.34228187919463,0,0.64,-0.756349923112547
6.44295302013423,0,0.64,-0.777344156854761
6.54362416107382,0,0.64,-0.798512677170212
6.64429530201342,0,0.64,-0.81985141675662
6.74496644295302,0,0.64,-0.841356356199703
6.84563758389262,0,0.64,-0.863023523945298
6.94630872483221,0,0.64,-0.884848996274069
7.04697986577181,0,0.64,-0.906828897278625
7.14765100671141,0,0.64,-0.92895939884295
7.24832214765101,0,0.64,-0.95123672062394
7.3489932885906,0,0.64,-0.973657130034958
7.4496644295302,0,0.64,-0.996216942231206
7.5503355704698,0,0.64,-1.01891252009678
7.6510067114094,0,0.64,-1.04174027423326
7.75167785234899,0,0.64,-1.06469666294972
7.85234899328859,0,0.64,-1.08777819225397
7.95302013422819,0,0.64,-1.11098141584489
8.05369127516778,0,0.64,-1.13430293510579
8.15436241610738,0,0.64,-1.15773939909854
8.25503355704698,0,0.64,-1.18128750455855
8.35570469798658,0,0.64,-1.20494399589038
8.45637583892617,0,0.64,-1.22870566516383
8.55704697986577,0,0.64,-1.25256935211066
8.65771812080537,0,0.64,-1.27653194412167
8.75838926174497,0,0.64,-1.3005903762441
8.85906040268456,0,0.64,-1.3247416311794
8.95973154362416,0,0.64,-1.34898273928125
9.06040268456376,0,0.64,-1.3733107785538
9.16107382550335,0,0.64,-1.39772287465011
9.26174496644295,0,0.64,-1.42221620087075
9.36241610738255,0,0.64,-1.44678797816254
9.46308724832215,0,0.64,-1.4714354751174
9.56375838926174,0,0.64,-1.4961560079713
9.66442953020134,0,0.64,-1.52094694060332
9.76510067114094,0,0.64,-1.54580568453473
9.86577181208054,0,0.64,-1.57072969892819
9.96644295302013,0,0.64,-1.59571649058691
10.0671140939597,0,0.64,-1.620763613954
10.1677852348993,0,0.64,-1.64586867111173
10.2684563758389,0,0.64,-1.67102931178096
10.3691275167785,0,0.64,-1.69624323332055
10.4697986577181,0,0.64,-1.721508180727
10.5704697986577,0,0.64,-1.7468219466341
10.6711409395973,0,0.64,-1.77218237131291
10.7718120805369,0,0.64,-1.79758734267182
10.8724832214765,0,0.64,-1.82303479625701
10.9731543624161,0,0.64,-1.84852271525319
11.0738255033557,0,0.64,-1.87404913048476
11.1744966442953,0,0.64,-1.89961212041732
11.2751677852349,0,0.64,-1.92520981115964
11.3758389261745,0,0.64,-1.9508403764658
11.4765100671141,0,0.64,-1.9765020377376
11.5771812080537,0,0.64,-2.00219306402671
11.6778523489933,0,0.64,-2.02791177203633
11.7785234899329,0,0.64,-2.05365652612158
11.8791946308725,0,0.64,-2.0794257382877
11.9798657718121,0,0.64,-2.10521786818528
12.0805369127517,0,0.64,-2.13103142310074
