"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-0.526175875541882,-0.498137663401321,-0.504960381819239,-0.504755984814386,-0.537388786354612,-0.5050805501544,-0.465715284978433,-0.566161206236168,-0.517573700471354,-0.517185399133548,-0.578924825096786,-0.581424468099836,-0.493421041090839,-0.467575830386028,-0.573803803008127,-0.58460105338554,-0.563532511770051,-0.50119289444961,-0.528939517127656,-0.558938764708841,-0.517682849337966,-0.504802391105969,-0.515989244314328,-0.558096026837919,-0.520203747035584,-0.538245616886722,-0.556942165069126,-0.482655589122247,-0.558866861278678,-0.54408340535869
-0.567091426835446,-0.536182563991401,-0.544087291414006,-0.544248232276959,-0.57772306539866,-0.543927910529518,-0.501333777362308,-0.609276980235999,-0.557044912550165,-0.556664326037307,-0.623259980368935,-0.625881462547997,-0.531881538074923,-0.50348419427777,-0.617292043241366,-0.629180412073855,-0.606879814875686,-0.539869482011266,-0.569285600969923,-0.601280225029239,-0.557420119054801,-0.543508943796191,-0.555099917588038,-0.600131353286389,-0.559516934000223,-0.579757801063062,-0.599435653361624,-0.519624019397052,-0.601650375338995,-0.585873341078985
-0.609093497015405,-0.575208956265862,-0.584247067467135,-0.584798994649526,-0.619070636547027,-0.583788856179933,-0.537872555480671,-0.653502104438126,-0.597532532218248,-0.597161372006275,-0.66874629260938,-0.671490070387324,-0.57136665832069,-0.540326519541085,-0.661891138299807,-0.674909846445073,-0.651359860102395,-0.579560425980573,-0.610671264438271,-0.644701892660234,-0.598191218982152,-0.583220494816686,-0.595207946892229,-0.643229396151102,-0.599828035626476,-0.622358574434028,-0.643025383780663,-0.557550209372479,-0.64554346618713,-0.628752270314962
-0.652138703447555,-0.61517722478404,-0.625398369202736,-0.626366120531686,-0.661390257426664,-0.624622651582723,-0.575294465223012,-0.698791861820828,-0.638995531467553,-0.638635461527857,-0.715337524800657,-0.718204003889321,-0.611835511203794,-0.57806519624641,-0.707556210497655,-0.721743072003725,-0.696927223445837,-0.620225030942411,-0.653054569198842,-0.689160083845902,-0.639954571268437,-0.623896582637332,-0.636272927318591,-0.687347038179097,-0.641096561966297,-0.666004301393239,-0.687667193513923,-0.596395546414406,-0.690501517944471,-0.672676455138731
-0.696184548432841,-0.65604858900645,-0.667500704309438,-0.668908311260028,-0.704641568882683,-0.666389407829062,-0.613563137133741,-0.745102467215522,-0.681393745625913,-0.681046382132787,-0.762988395501777,-0.76597793298771,-0.653248038003163,-0.616663402083811,-0.754243320430424,-0.769634763736578,-0.743537417498178,-0.661823442746268,-0.696394456762376,-0.734612032446419,-0.682669463513895,-0.665497591299652,-0.678255313239723,-0.732442074242592,-0.68328288714523,-0.710652245719616,-0.733317839950466,-0.636122229254727,-0.736480840309388,-0.717603063442832
-0.741189418625533,-0.697785096709982,-0.710514427073236,-0.712385121491507,-0.748785084451679,-0.709050078450479,-0.65264298054537,-0.792391062081356,-0.724687866557467,-0.724354777902142,-0.811654575269384,-0.814767481499647,-0.695565011290279,-0.656085097513671,-0.801909461171478,-0.818540551994951,-0.791146888417076,-0.704316645335039,-0.740650742078413,-0.781015883066205,-0.726296044151846,-0.707984745216352,-0.72111640948839,-0.778473203110439,-0.72634823976735,-0.756260567839083,-0.779934995476634,-0.67669326233266,-0.783438664276197,-0.763490165127282
-0.787112584426937,-0.740349618790789,-0.754400736972901,-0.756756959791389,-0.79378218287223,-0.752566456183166,-0.692499178620681,-0.840615710816252,-0.768839437518446,-0.768522144545042,-0.861292683984964,-0.864529224351608,-0.738748034709246,-0.696295021800782,-0.850512554301879,-0.868417019550445,-0.839713013539913,-0.747666458307304,-0.785784108789131,-0.828330686294531,-0.770795318915219,-0.751320105128563,-0.764818364702576,-0.825400021820751,-0.770254695767135,-0.802788322643776,-0.827477243739923,-0.718072451203956,-0.831333138979901,-0.810296729201973
-0.833914199284424,-0.783705845301223,-0.799121677533546,-0.801985088966328,-0.839595102911192,-0.796901170481869,-0.733097684323264,-0.889735398142895,-0.81381084937091,-0.813510825763251,-0.911860288840933,-0.915220685520868,-0.782759542814293,-0.737258689848934,-0.900011447180431,-0.919221699460507,-0.889194099491797,-0.791835535018361,-0.83175610578367,-0.876516395437671,-0.816129148162454,-0.795466565031216,-0.809324166476318,-0.873183021889733,-0.814965173265625,-0.850195457722362,-0.875904076967123,-0.760224398938312,-0.880123329356771,-0.857982621570908
-0.881555298920458,-0.82781828249834,-0.844640135333928,-0.848031626098639,-0.886186939852297,-0.842017685609722,-0.774405217249525,-0.939710027230092,-0.859565337837889,-0.859284010602926,-0.963315902815098,-0.966800336493958,-0.827562800829768,-0.778942389728913,-0.95036591102966,-0.9709130734966,-0.939549380686034,-0.836787361075624,-0.878529144715339,-0.925533864259924,-0.862260244854651,-0.840387849860411,-0.854597637908956,-0.921783586753094,-0.86044342895572,-0.898442811908654,-0.925175894019969,-0.803114503361783,-0.929769214391796,-0.906508603321896
-0.929997800549779,-0.872652250673374,-0.890919839121489,-0.894859542338357,-0.93352164312123,-0.887880299159891,-0.816389261199739,-0.990500418316494,-0.906066981520618,-0.905805731530081,-1.01561898351521,-1.01922759510687,-0.873121904305476,-0.821313180776185,-1.0015366395548,-1.02345057097156,-0.990739018146182,-0.882486253124901,-0.926066498206045,-0.975344845390054,-0.909152173014664,-0.886048513755474,-0.900603435179031,-0.971163990005982,-0.906654055592596,-0.947492114091674,-0.975253998963753,-0.846708954977648,-0.980231685793144,-0.955836329397099
