"x","y","z","data"
3.12080536912752,0,0.64,-1.4991375500685
12.4832214765101,0.105263157894737,0.64,0.877800761190684
10.1677852348993,0.210526315789474,0.64,0.573641615542233
6.14093959731544,0.947368421052632,0.64,-0.250787020190944
14.0939597315436,1.15789473684211,0.64,1.04734084224799
0.503355704697987,1.36842105263158,0.64,-4.81703840525099
4.32885906040268,1.78947368421053,0.64,-0.879337616452931
8.55704697986577,1.89473684210526,0.64,0.301049609542391
2.41610738255034,2,0.64,-2.00587011242948
10.8724832214765,2,0.64,0.674317925252913
