"x","y","z","D"
0,0,0.64,0
0.100671140939597,0,0.64,9.30544202435699e-05
0.201342281879195,0,0.64,0.000121327285362
0.302013422818792,0,0.64,-0.000537829392943945
0.402684563758389,0,0.64,-0.00183002090783074
0.503355704697987,0,0.64,-0.00371689991678748
0.604026845637584,0,0.64,-0.00616809163382561
0.704697986577181,0,0.64,-0.00916512804472837
0.805369127516778,0,0.64,-0.0126957443462937
0.906040268456376,0,0.64,-0.0167506339716883
1.00671140939597,0,0.64,-0.0213217788796336
1.10738255033557,0,0.64,-0.0264016997356484
1.20805369127517,0,0.64,-0.0319831002242747
1.30872483221477,0,0.64,-0.0380586891856951
1.40939597315436,0,0.64,-0.0446210906355063
1.51006711409396,0,0.64,-0.0516628053752639
1.61073825503356,0,0.64,-0.0591762076487725
1.71140939597315,0,0.64,-0.0671535672242831
1.81208053691275,0,0.64,-0.0755870891024194
1.91275167785235,0,0.64,-0.0844689632027848
2.01342281879195,0,0.64,-0.0937914165264912
2.11409395973154,0,0.64,-0.103546761148269
2.21476510067114,0,0.64,-0.113727433051343
2.31543624161074,0,0.64,-0.124326018983211
2.41610738255034,0,0.64,-0.135335270727314
2.51677852348993,0,0.64,-0.146748108035901
2.61744966442953,0,0.64,-0.158557612688126
2.71812080536913,0,0.64,-0.170757016653038
2.81879194630872,0,0.64,-0.183339687244164
2.91946308724832,0,0.64,-0.196299111645729
3.02013422818792,0,0.64,-0.209628882490017
3.12080536912752,0,0.64,-0.22332268545742
3.22147651006711,0,0.64,-0.237374289277547
3.32214765100671,0,0.64,-0.251777538086344
3.42281879194631,0,0.64,-0.26652634584205
3.52348993288591,0,0.64,-0.281614692392292
3.6241610738255,0,0.64,-0.297036620773358
3.7248322147651,0,0.64,-0.312786235369976
3.8255033557047,0,0.64,-0.328857700637574
3.9261744966443,0,0.64,-0.345245240167034
4.02684563758389,0,0.64,-0.361943135941908
4.12751677852349,0,0.64,-0.378945727694343
4.22818791946309,0,0.64,-0.39624741230755
4.32885906040268,0,0.64,-0.413842643240866
4.42953020134228,0,0.64,-0.431725929970995
4.53020134228188,0,0.64,-0.449891837452416
4.63087248322148,0,0.64,-0.468334985603904
4.73154362416107,0,0.64,-0.487050048828529
4.83221476510067,0,0.64,-0.506031755573016
4.93288590604027,0,0.64,-0.525274887930063
5.03355704697987,0,0.64,-0.544774281284777
5.13422818791946,0,0.64,-0.564524824004331
5.23489932885906,0,0.64,-0.584521457168318
5.33557046979866,0,0.64,-0.604759174336266
5.43624161073825,0,0.64,-0.625233021348205
5.53691275167785,0,0.64,-0.645938096154068
5.63758389261745,0,0.64,-0.666869548667806
