"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
-0.0910817886373109,-0.0951075059602268,-0.0924009726541236,-0.0870825357250548,-0.105664262521135,-0.0926021675356203,-0.0874976500503393,-0.106596312076843,-0.0963279402640996,-0.0962757946266708,-0.109320553619539,-0.111310579104734,-0.0901254232512587,-0.0849839897743592,-0.10758281431364,-0.107707704478707,-0.102282125956469,-0.0895366989650501,-0.0996926748291261,-0.107654594763115,-0.0936288820021013,-0.0934236658772048,-0.0976054705937946,-0.106343952190603,-0.0977722895472901,-0.098704260473998,-0.106908573310584,-0.0898504467091758,-0.102925398400053,-0.102656900268609
-0.111482242254305,-0.114962250093165,-0.112338598463607,-0.106634949767649,-0.127057540688508,-0.112453064967409,-0.105931185526007,-0.128935070224562,-0.116688907287793,-0.116632611722346,-0.132315606302742,-0.134565905535116,-0.109689552190552,-0.103286554321684,-0.130149386453959,-0.130652213539083,-0.124349291902833,-0.109080449056647,-0.12060812419349,-0.12985845213995,-0.113866199344293,-0.113302564615622,-0.117957909448327,-0.128345602399875,-0.118263553703206,-0.11989748635397,-0.129165742506056,-0.108894212208922,-0.124864527750806,-0.124326242697752
-0.133713644863562,-0.136456322183212,-0.133994966472058,-0.127955258435075,-0.150147592661836,-0.133994927483491,-0.125901266437863,-0.153121812798836,-0.138749612513119,-0.138690568404457,-0.157226624329631,-0.159744385408844,-0.130957770823431,-0.123154024509266,-0.154579329306037,-0.155527756245677,-0.148307503481622,-0.130323761371214,-0.143257394399879,-0.153865383096585,-0.135838929662034,-0.134858563751904,-0.1399796922544,-0.152132748112244,-0.1404403467611,-0.14290201446184,-0.15325512272636,-0.129537038283393,-0.148655266395725,-0.147811541776496
-0.157713357991941,-0.159533981065578,-0.1573117668043,-0.150983997532915,-0.17487738819542,-0.157169877621769,-0.147355544281199,-0.179093755358871,-0.162451668484494,-0.162391268774783,-0.183988344819985,-0.186780684357678,-0.15387299085894,-0.144532914126779,-0.180809694201659,-0.182268830836085,-0.174091834848748,-0.153208411305109,-0.167581245594488,-0.179614508145695,-0.1594872566696,-0.158034214147886,-0.163613626491708,-0.17764522050739,-0.164244743304802,-0.167655734526542,-0.179114496235835,-0.151724292395352,-0.17423421588854,-0.173050795281983
-0.183420656650735,-0.184141329870587,-0.18223227431897,-0.175662874593376,-0.201191859494572,-0.181921947833223,-0.170243231579364,-0.20679070734591,-0.187739001867619,-0.18767859001465,-0.212538247809946,-0.215612140835288,-0.178379269830272,-0.167371240212976,-0.208780140789306,-0.210812814474956,-0.20164015640258,-0.177677967282234,-0.193522734611583,-0.207047260342248,-0.184753630759383,-0.182774056291668,-0.188804847362927,-0.204825203289214,-0.189621352569751,-0.194098844891372,-0.206684045500854,-0.175403070144502,-0.201540687995338,-0.199984325842638
-0.210777049733773,-0.210226250965283,-0.208701595593532,-0.201935317615941,-0.229037461413022,-0.208197154984975,-0.194515171760568,-0.236154595783239,-0.214557641064714,-0.214498497585246,-0.242816105499604,-0.246178303699523,-0.204422206725729,-0.191618717070436,-0.238432352558365,-0.241099372635909,-0.230892832476337,-0.203677995562548,-0.221026962748173,-0.23610692112117,-0.21158273305554,-0.209024615508194,-0.215500476835192,-0.233616672757085,-0.216516867149632,-0.222173806778661,-0.235905997836369,-0.200522254297441,-0.230516333076264,-0.228554616296446
-0.239726213465617,-0.237738214658642,-0.236666648697611,-0.229746643766591,-0.258361886757452,-0.235943351181625,-0.220123757144601,-0.267129034862805,-0.242855389516548,-0.242798735163052,-0.274763532322661,-0.27842050127588,-0.231949066529173,-0.217226737655483,-0.2697095909753,-0.27306994919816,-0.26179228105511,-0.231155983399149,-0.250040742889101,-0.266738256738929,-0.239921217438045,-0.236734207775732,-0.243649256402036,-0.263965012214225,-0.24487962834331,-0.25182507681092,-0.266724259859611,-0.227032395338233,-0.261104699944649,-0.258706003621127
-0.270213732113046,-0.26662806165009,-0.266075996860549,-0.259043979760156,-0.289113924413439,-0.265109983589959,-0.247022768456474,-0.299659024843061,-0.272581515073054,-0.272528520755679,-0.308323647552175,-0.312281533444545,-0.260908720773018,-0.244148228132487,-0.302556422441334,-0.306667419149979,-0.294282572444389,-0.260061120436818,-0.280512306231681,-0.298887294549299,-0.269717392093689,-0.265852684709331,-0.273201252588586,-0.295816799183872,-0.274659300842279,-0.282998787400246,-0.299084140893016,-0.254885512508257,-0.293250870059329,-0.290384376581521
-0.302186794693389,-0.296847821160461,-0.296879639273338,-0.289776063928218,-0.321243410006292,-0.295647858398925,-0.275167202184702,-0.333690775593576,-0.303686516740845,-0.303638313848806,-0.343440862377623,-0.347705484769515,-0.291251498207343,-0.272337458761577,-0.336918578061432,-0.341835888066094,-0.32830913644212,-0.290344050265391,-0.312391095359911,-0.332501210312304,-0.30092093977194,-0.296331202647466,-0.304107663793654,-0.329119711155498,-0.305806671003789,-0.315642472432427,-0.332932180453621,-0.284034893336537,-0.326901208666042,-0.323536944170495
-0.335593931716511,-0.328350585151791,-0.329028821825954,-0.321893025153216,-0.354701218962633,-0.327508954884576,-0.304513125503399,-0.369171614759003,-0.336121976057381,-0.336079664319558,-0.380060758708096,-0.384637620213136,-0.322929016652805,-0.301749867401138,-0.372742890024843,-0.378520588862031,-0.363818577892387,-0.321956656358667,-0.345627639588082,-0.367528279037231,-0.333482714183277,-0.328122051058014,-0.336320713056234,-0.36382249206019,-0.338273541042763,-0.349704870625534,-0.368216053185451,-0.314434932788097,-0.362003217433808,-0.358112083598393
