"x","y","z","data"
0.704697986577181,0,0.64,-4.65958494561102
7.3489932885906,0,0.64,-0.00277133023328836
10.2684563758389,0,0.64,0.530757639661062
12.6845637583893,0.526315789473684,0.64,0.838101135199467
3.22147651006711,0.842105263157895,0.64,-1.47216302814769
0.302013422818792,1.57894736842105,0.64,-5.85448604164748
9.96644295302013,1.57894736842105,0.64,0.472794242027526
7.85234899328859,1.78947368421053,0.64,0.0877913374668478
5.83892617449664,1.89473684210526,0.64,-0.422755727890412
12.2818791946309,1.89473684210526,0.64,0.78344205421135
