"x","y","z","D"
0,0,0.64,0
0.100671140939597,0,0.64,1.52858103108597e-05
0.201342281879195,0,0.64,-2.56230958384516e-05
0.302013422818792,0,0.64,-0.000749091161099
0.402684563758389,0,0.64,-0.00209162249217292
0.503355704697987,0,0.64,-0.00401302138017928
0.604026845637584,0,0.64,-0.00647974243676658
0.704697986577181,0,0.64,-0.00947039224299919
0.805369127516778,0,0.64,-0.0129701938936484
0.906040268456376,0,0.64,-0.0169678449201638
1.00671140939597,0,0.64,-0.021453796738189
1.10738255033557,0,0.64,-0.0264194226837781
1.20805369127517,0,0.64,-0.0318565866661791
1.30872483221477,0,0.64,-0.0377574068319411
1.40939597315436,0,0.64,-0.0441141226113454
1.51006711409396,0,0.64,-0.0509190252718634
1.61073825503356,0,0.64,-0.0581644315639012
1.71140939597315,0,0.64,-0.0658426872411161
1.81208053691275,0,0.64,-0.0739461897220943
1.91275167785235,0,0.64,-0.082467420340818
2.01342281879195,0,0.64,-0.0913989779471106
2.11409395973154,0,0.64,-0.100733607515339
2.21476510067114,0,0.64,-0.110464219779032
2.31543624161074,0,0.64,-0.120583900341783
2.41610738255034,0,0.64,-0.131085908801787
2.51677852348993,0,0.64,-0.141963669876159
2.61744966442953,0,0.64,-0.153210759220343
2.71812080536913,0,0.64,-0.164820886684759
2.81879194630872,0,0.64,-0.176787879327828
2.91946308724832,0,0.64,-0.189105665841962
3.02013422818792,0,0.64,-0.20176826334901
3.12080536912752,0,0.64,-0.214769766921474
3.22147651006711,0,0.64,-0.228104341751234
3.32214765100671,0,0.64,-0.24176621762605
3.42281879194631,0,0.64,-0.255749685257829
3.52348993288591,0,0.64,-0.270049093993245
3.6241610738255,0,0.64,-0.284658850485232
3.7248322147651,0,0.64,-0.299573417980233
3.8255033557047,0,0.64,-0.314787315958591
3.9261744966443,0,0.64,-0.330295119941273
4.02684563758389,0,0.64,-0.346091461339524
4.12751677852349,0,0.64,-0.362171027273484
4.22818791946309,0,0.64,-0.378528560322265
4.32885906040268,0,0.64,-0.395158858193413
4.42953020134228,0,0.64,-0.412056773316197
4.53020134228188,0,0.64,-0.42921721237288
4.63087248322148,0,0.64,-0.446635135786809
4.73154362416107,0,0.64,-0.464305557187312
4.83221476510067,0,0.64,-0.482223542870122
4.93288590604027,0,0.64,-0.500384211269441
5.03355704697987,0,0.64,-0.518782732454377
5.13422818791946,0,0.64,-0.537414327659013
5.23489932885906,0,0.64,-0.556274268851994
5.33557046979866,0,0.64,-0.575357878348667
5.43624161073825,0,0.64,-0.594660528466383
5.53691275167785,0,0.64,-0.614177641221785
5.63758389261745,0,0.64,-0.633904688067609
5.73825503355705,0,0.64,-0.653837189665746
5.83892617449664,0,0.64,-0.673970715692783
5.93959731543624,0,0.64,-0.694300884674272
6.04026845637584,0,0.64,-0.714823363843939
6.14093959731544,0,0.64,-0.735533869024342
6.24161073825503,0,0.64,-0.756428164525773
6.34228187919463,0,0.64,-0.777502063060599
6.44295302013423,0,0.64,-0.798751425670522
6.54362416107382,0,0.64,-0.820172161664759
6.64429530201342,0,0.64,-0.841760228567193
6.74496644295302,0,0.64,-0.863511632071139
6.84563758389262,0,0.64,-0.885422426000396
6.94630872483221,0,0.64,-0.907488712275558
7.04697986577181,0,0.64,-0.929706640884745
7.14765100671141,0,0.64,-0.95207240985804
7.24832214765101,0,0.64,-0.974582265245068
7.3489932885906,0,0.64,-0.99723250109523
7.4496644295302,0,0.64,-1.0200194594402
7.5503355704698,0,0.64,-1.04293953027838
7.6510067114094,0,0.64,-1.06598915156105
7.75167785234899,0,0.64,-1.08916480918
7.85234899328859,0,0.64,-1.11246303695648
7.95302013422819,0,0.64,-1.13588041663124
8.05369127516778,0,0.64,-1.15941357785565
8.15436241610738,0,0.64,-1.1830591981837
8.25503355704698,0,0.64,-1.20681400306483
8.35570469798658,0,0.64,-1.23067476583751
8.45637583892617,0,0.64,-1.25463830772345
8.55704697986577,0,0.64,-1.27870149782248
8.65771812080537,0,0.64,-1.30286125310794
8.75838926174497,0,0.64,-1.32711453842259
8.85906040268456,0,0.64,-1.35145836647493
8.95973154362416,0,0.64,-1.37588979783599
9.06040268456376,0,0.64,-1.40040594093642
9.16107382550335,0,0.64,-1.42500395206395
9.26174496644295,0,0.64,-1.44968103536113
9.36241610738255,0,0.64,-1.47443444282331
9.46308724832215,0,0.64,-1.49926147429682
9.56375838926174,0,0.64,-1.52415947747744
9.66442953020134,0,0.64,-1.54912584790885
9.76510067114094,0,0.64,-1.57415802898126
9.86577181208054,0,0.64,-1.59925351193019
9.96644295302013,0,0.64,-1.62440983583513
10.0671140939597,0,0.64,-1.64962458761835
10.1677852348993,0,0.64,-1.67489540204355
10.2684563758389,0,0.64,-1.70021996171446
10.3691275167785,0,0.64,-1.72559599707338
10.4697986577181,0,0.64,-1.75102128639946
10.5704697986577,0,0.64,-1.77649365580691
10.6711409395973,0,0.64,-1.80201097924294
10.7718120805369,0,0.64,-1.82757117848554
10.8724832214765,0,0.64,-1.85317222314093
10.9731543624161,0,0.64,-1.8788121306409
11.0738255033557,0,0.64,-1.90448896623975
11.1744966442953,0,0.64,-1.93020084301107
11.2751677852349,0,0.64,-1.95594592184406
11.3758389261745,0,0.64,-1.98172241143954
11.4765100671141,0,0.64,-2.0075285683053
11.5771812080537,0,0.64,-2.03336269675094
11.6778523489933,0,0.64,-2.0592231488819
11.7785234899329,0,0.64,-2.08510832459261
11.8791946308725,0,0.64,-2.11101667155886
11.9798657718121,0,0.64,-2.13694668522985
12.0805369127517,0,0.64,-2.16289690882074
